"","PreyUniprotAcc","diferEnsamb","Bait","PreyGeneName","MIST","SAINT_BFDR","AvgSpec","FoldChange","Uniprot Protein ID","Uniprot Protein Description","Uniprot Function","Structures (PDB)","Uniprot Function in Disease"
"11","O14874","ENSP00000378405","Nsp12","BCKDK","0.98581764","0.0","8.33","83.33","BCKD_HUMAN","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)"," Catalyzes the phosphorylation and inactivation of the branched-chain alpha-ketoacid dehydrogenase complex, the key regulatory enzyme of the valine, leucine and isoleucine catabolic pathways. Key enzyme that regulate the activity state of the BCKD complex. {ECO:0000269|PubMed:24449431}.",NA," Branched-chain ketoacid dehydrogenase kinase deficiency (BCKDKD) [MIM:614923]: A metabolic disorder characterized by autism, epilepsy, intellectual disability, and reduced branched-chain amino acids. {ECO:0000269|PubMed:22956686, ECO:0000269|PubMed:24449431}. Note=The disease is caused by mutations affecting the gene represented in this entry. A diet enriched in branched amino acids (BCAAs) allows to normalize plasma BCAA levels. This suggests that it may be possible to treat patients with mutations in BCKDK with BCAA supplementation."
"12","O14975","ENSP00000267842","Nsp2","SLC27A2","0.915803486","0.0","4.67","46.67","S27A2_HUMAN","Very long-chain acyl-CoA synthetase (VLACS) (VLCS) (EC 6.2.1.-) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain-fatty-acid-CoA ligase)"," Acyl CoA synthetase that activates long-chain and very long-chain fatty acids (VLCFAs) by catalyzing the formation of fatty acyl-CoA (PubMed:10198260, PubMed:10749848, PubMed:11980911). Can also activate branched-chain fatty acids such as phytanic acid and pristanic acid (PubMed:10198260). Does not activate C24 bile acids, cholate and chenodeoxycholate (PubMed:11980911). In vitro, activates 3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanate (THCA), the C27 precursor of cholic acid deriving from the de novo synthesis from cholesterol (PubMed:11980911). Exhibits long-chain fatty acids (LCFA) transport activity and plays an important role in hepatic fatty acid uptake (PubMed:20530735). {ECO:0000269|PubMed:10198260, ECO:0000269|PubMed:10749848, ECO:0000269|PubMed:11980911, ECO:0000269|PubMed:20530735}.; FUNCTION: Isoform 1 exhibits both long-chain fatty acids (LCFA) transport activity and acyl CoA synthetase towards very long-chain fatty acids (PubMed:21768100). Shows a preference for generating CoA derivatives of n-3 fatty acids, which are preferentially trafficked into phosphatidylinositol (PubMed:21768100). {ECO:0000269|PubMed:21768100}.; FUNCTION: Isoform 2 exhibits long-chain fatty acids (LCFA) transport activity but lacks acyl CoA synthetase towards very long-chain fatty acids. {ECO:0000269|PubMed:21768100}.",NA,NA
"13","O43169","ENSP00000308430","Nsp7","CYB5B","0.80351019","0.0","3.33","33.33","CYB5B_HUMAN","Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform)"," Cytochrome b5 is a membrane-bound hemoprotein functioning as an electron carrier for several membrane-bound oxygenases. {ECO:0000250}.","3NER",NA
"14","O43292","ENSP00000347206","Orf9c","GPAA1","0.804405154","0.03","3.33","33.33","GPAA1_HUMAN","Glycosylphosphatidylinositol anchor attachment 1 protein (GPI anchor attachment protein 1) (GAA1 protein homolog) (hGAA1)"," Essential for GPI-anchoring of precursor proteins but not for GPI synthesis. Acts before or during formation of the carbonyl intermediate. {ECO:0000269|PubMed:29100095, ECO:0000269|PubMed:9468317}.",NA," Glycosylphosphatidylinositol biosynthesis defect 15 (GPIBD15) [MIM:617810]: An autosomal recessive disorder characterized by delayed psychomotor development, variable intellectual disability, hypotonia, early-onset seizures in most patients, and cerebellar atrophy, resulting in cerebellar signs including gait ataxia and dysarthria. {ECO:0000269|PubMed:29100095}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"15","O43633","ENSP00000469240","Orf9b","CHMP2A","0.948289085","0.05","2.33","23.33","CHM2A_HUMAN","Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)"," Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential function of ESCRT-O, -I,-II and -III complexes. ESCRT-III proteins mostly dissociate from the invaginating membrane before the ILV is released. The ESCRT machinery also functions in topologically equivalent membrane fission events, such as the terminal stages of cytokinesis (PubMed:21310966). Together with SPAST, the ESCRT-III complex promotes nuclear envelope sealing and mitotic spindle disassembly during late anaphase (PubMed:26040712). ESCRT-III proteins are believed to mediate the necessary vesicle extrusion and/or membrane fission activities, possibly in conjunction with the AAA ATPase VPS4. {ECO:0000269|PubMed:21310966, ECO:0000269|PubMed:26040712, ECO:0000305}.; FUNCTION: (Microbial infection) The ESCRT machinery functions in topologically equivalent membrane fission events, such as the budding of enveloped viruses (HIV-1 and other lentiviruses). Involved in HIV-1 p6- and p9-dependent virus release. {ECO:0000269|PubMed:14505570, ECO:0000269|PubMed:14519844}.",NA,NA
"16","O43818","ENSP00000232888","N","RRP9","0.861168798","0.0","13.0","130.0","U3IP2_HUMAN","U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K)"," Component of a nucleolar small nuclear ribonucleoprotein particle (snoRNP) thought to participate in the processing and modification of pre-ribosomal RNA (pre-rRNA). {ECO:0000269|PubMed:26867678}.","4J0W;4JXM",NA
"17","O43823","ENSP00000269701","Nsp12","AKAP8","0.717059992","0.05","2.67","26.67","AKAP8_HUMAN","A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)"," Anchoring protein that mediates the subcellular compartmentation of cAMP-dependent protein kinase (PKA type II) (PubMed:9473338). Acts as an anchor for a PKA-signaling complex onto mitotic chromosomes, which is required for maintenance of chromosomes in a condensed form throughout mitosis. Recruits condensin complex subunit NCAPD2 to chromosomes required for chromatin condensation; the function appears to be independent from PKA-anchoring (PubMed:10601332, PubMed:10791967, PubMed:11964380). May help to deliver cyclin D/E to CDK4 to facilitate cell cycle progression (PubMed:14641107). Required for cell cycle G2/M transition and histone deacetylation during mitosis. In mitotic cells recruits HDAC3 to the vicinity of chromatin leading to deacetylation and subsequent phosphorylation at 'Ser-10' of histone H3; in this function may act redundantly with AKAP8L (PubMed:16980585). Involved in nuclear retention of RPS6KA1 upon ERK activation thus inducing cell proliferation (PubMed:22130794). May be involved in regulation of DNA replication by acting as scaffold for MCM2 (PubMed:12740381). Enhances HMT activity of the KMT2 family MLL4/WBP7 complex and is involved in transcriptional regulation. In a teratocarcinoma cell line is involved in retinoic acid-mediated induction of developmental genes implicating H3 'Lys-4' methylation (PubMed:23995757). May be involved in recruitment of active CASP3 to the nucleus in apoptotic cells (PubMed:16227597). May act as a carrier protein of GJA1 for its transport to the nucleus (PubMed:26880274). Seems to involved in modulation of rDNA transcription. Preferentially binds GC-rich DNA in vitro and associates to GC-rich ribosomal RNA promoters (PubMed:26683827). Involved in modulation of Toll-like receptor signaling. Required for the cAMP-dependent suppression of TNF-alpha in early stages of LPS-induced macrophage activation; the function probably implicates targeting of PKA to NFKB1 (By similarity). {ECO:0000250|UniProtKB:Q63014, ECO:0000250|UniProtKB:Q9DBR0, ECO:0000269|PubMed:10601332, ECO:0000269|PubMed:10791967, ECO:0000269|PubMed:11964380, ECO:0000269|PubMed:16980585, ECO:0000269|PubMed:22130794, ECO:0000269|PubMed:26683827, ECO:0000269|PubMed:26880274, ECO:0000305|PubMed:14641107, ECO:0000305|PubMed:9473338}.",NA,NA
"18","O60573","ENSP00000386996","Nsp2","EIF4E2","0.806833749","0.0","10.33","103.33","IF4E2_HUMAN","Eukaryotic translation initiation factor 4E type 2 (eIF-4E type 2) (eIF4E type 2) (Eukaryotic translation initiation factor 4E homologous protein) (Eukaryotic translation initiation factor 4E-like 3) (eIF4E-like protein 4E-LP) (mRNA cap-binding protein 4EHP) (h4EHP) (mRNA cap-binding protein type 3)"," Recognizes and binds the 7-methylguanosine-containing mRNA cap during an early step in the initiation (PubMed:9582349, PubMed:17368478, PubMed:25624349). Acts as a repressor of translation initiation (PubMed:22751931). In contrast to EIF4E, it is unable to bind eIF4G (EIF4G1, EIF4G2 or EIF4G3), suggesting that it acts by competing with EIF4E and block assembly of eIF4F at the cap (By similarity). {ECO:0000250|UniProtKB:Q8BMB3, ECO:0000269|PubMed:17368478, ECO:0000269|PubMed:22751931, ECO:0000269|PubMed:25624349, ECO:0000269|PubMed:9582349}.","2JGB;2JGC;5NVK;5NVL;5NVM;5NVN;5XLN",NA
"19","O60885","ENSP00000263377","E","BRD4","0.97848835","0.0","2.67","26.67","BRD4_HUMAN","Bromodomain-containing protein 4 (Protein HUNK1)","Chromatin reader protein that recognizes and binds acetylated histones and plays a key role in transmission of epigenetic memory across cell divisions and transcription regulation. Remains associated with acetylated chromatin throughout the entire cell cycle and provides epigenetic memory for postmitotic G1 gene transcription by preserving acetylated chromatin status and maintaining high-order chromatin structure. During interphase, plays a key role in regulating the transcription of signal-inducible genes by associating with the P-TEFb complex and recruiting it to promoters. Also recruits P-TEFb complex to distal enhancers, so called anti-pause enhancers in collaboration with JMJD6. BRD4 and JMJD6 are required to form the transcriptionally active P-TEFb complex by displacing negative regulators such as HEXIM1 and 7SKsnRNA complex from P-TEFb, thereby transforming it into an active form that can then phosphorylate the C-terminal domain (CTD) of RNA polymerase II. Promotes phosphorylation of 'Ser-2' of the C-terminal domain (CTD) of RNA polymerase II. According to a report, directly acts as an atypical protein kinase and mediates phosphorylation of 'Ser-2' of the C-terminal domain (CTD) of RNA polymerase II; these data however need additional evidences in vivo. In addition to acetylated histones, also recognizes and binds acetylated RELA, leading to further recruitment of the P-TEFb complex and subsequent activation of NF-kappa-B. Also acts as a regulator of p53/TP53-mediated transcription: following phosphorylation by CK2, recruited to p53/TP53 specific target promoters. Acts as a chromatin insulator in the DNA damage response pathway. Inhibits DNA damage response signaling by recruiting the condensin-2 complex to acetylated histones, leading to chromatin structure remodeling, insulating the region from DNA damage response by limiting spreading of histone H2AX/H2A.x phosphorylation.","2I8N;2LSP;2MJV;2N3K;2NCZ;2ND0;2ND1;2NNU;2OSS;2OUO;2YEL;2YEM;3MXF;3P5O;3SVF;3SVG;3U5J;3U5K;3U5L;3UVW;3UVX;3UVY;3UW9;3ZYU;4A9L;4BJX;4BW1;4BW2;4BW3;4BW4;4C66;4C67;4CFK;4CFL;4CL9;4CLB;4DON;4E96;4F3I;4GPJ;4HBV;4HBW;4HBX;4HBY;4HXK;4HXL;4HXM;4HXN;4HXO;4HXP;4HXR;4HXS;4IOO;4IOQ;4IOR;4J0R;4J0S;4J3I;4KV1;4KV4;4LR6;4LRG;4LYI;4LYS;4LYW;4LZR;4LZS;4MEN;4MEO;4MEP;4MEQ;4MR3;4MR4;4NQM;4NR8;4NUC;4NUD;4NUE;4O70;4O71;4O72;4O74;4O75;4O76;4O77;4O78;4O7A;4O7B;4O7C;4O7E;4O7F;4OGI;4OGJ;4PCE;4PCI;4PS5;4QB3;4QR3;4QR4;4QR5;4QZS;4UIX;4UIY;4UIZ;4UYD;4WHW;4WIV;4X2I;4XY9;4XYA;4YH3;4YH4;4Z1Q;4Z1S;4Z93;4ZC9;4ZW1;5A5S;5A85;5ACY;5AD2;5AD3;5BT4;5CFW;5COI;5CP5;5CPE;5CQT;5CRM;5CRZ;5CS8;5CTL;5CY9;5D0C;5D24;5D25;5D26;5D3H;5D3J;5D3L;5D3N;5D3P;5D3R;5D3S;5D3T;5DLX;5DLZ;5DW2;5DX4;5E0R;5EGU;5EI4;5EIS;5F5Z;5F60;5F61;5F62;5F63;5FBX;5H21;5HCL;5HLS;5HM0;5HQ5;5HQ6;5HQ7;5I80;5I88;5IGK;5JWM;5KDH;5KHM;5KJ0;5KU3;5LJ1;5LJ2;5LRQ;5LUU;5M39;5M3A;5MKZ;5MLI;5N2M;5NNC;5NND;5NNE;5NNF;5NNG;5O97;5OVB;5OWM;5OWW;5T35;5TI2;5TI3;5TI4;5TI5;5TI6;5TI7;5U28;5U2C;5U2E;5U2F;5UEO;5UEP;5UEQ;5UER;5UES;5UET;5UEU;5UEV;5UEX;5UEY;5UEZ;5UF0;5ULA;5UOO;5UVS;5UVT;5UVU;5UVV;5UVW;5UVX;5UVY;5UVZ;5V67;5VBO;5VBP;5VOM;5VZS;5W55;5WA5;5WMA;5WMD;5WMG;5WUU;5XHY;5XI2;5XI3;5XI4;5Y1Y;5Y8C;5Y8W;5Y8Y;5Y8Z;5Y93;5Y94;5YOU;5YOV;5YQX;5Z1R;5Z1S;5Z1T;5Z5T;5Z5U;5Z5V;5Z8G;5Z8R;5Z8Z;5Z90;5Z9C;5Z9K;6AFR;6AJV;6AJW;6AJX;6AJY;6AJZ;6BN7;6BN8;6BN9;6BNB;6BNH;6BOY;6C7Q;6C7R;6CD4;6CD5;6CIS;6CIY;6CJ1;6CJ2;6CKR;6CKS;6CZU;6CZV;6DJC;6DL2;6DMJ;6DML;6DNE;6DUV;6E4A;6FFD;6FNX;6FO5;6FSY;6FT3;6FT4;6G0O;6G0P;6G0Q;6G0R;6G0S;6HDQ;6HOV;6I7X;6I7Y;6IN1;6MAU;6MH1;6MH7;6MNL;6PRT;6PS9;6PSB;6Q3Y;6Q3Z;6S25;6SE4"," Note=A chromosomal aberration involving BRD4 is found in a rare, aggressive, and lethal carcinoma arising in midline organs of young people. Translocation t(15;19)(q14;p13) with NUTM1 which produces a BRD4-NUTM1 fusion protein. {ECO:0000269|PubMed:11733348, ECO:0000269|PubMed:12543779}."
"20","O75347","ENSP00000369736","Nsp11","TBCA","0.768344701","0.01","2.67","14.67","TBCA_HUMAN","Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)"," Tubulin-folding protein; involved in the early step of the tubulin folding pathway.","1H7C",NA
"21","O75439","ENSP00000249269","M","PMPCB","0.985120198","0.0","9.67","96.67","MPPB_HUMAN","Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)"," Catalytic subunit of the essential mitochondrial processing protease (MPP), which cleaves the mitochondrial sequence off newly imported precursors proteins (PubMed:29576218) (Probable). Preferentially, cleaves after an arginine at position P2 (By similarity). Required for PINK1 turnover by coupling PINK1 mitochondrial import and cleavage, which results in subsequent PINK1 proteolysis (PubMed:22354088). {ECO:0000250|UniProtKB:Q03346, ECO:0000269|PubMed:22354088, ECO:0000269|PubMed:29576218, ECO:0000305|PubMed:22354088}.",NA," Multiple mitochondrial dysfunctions syndrome 6 (MMDS6) [MIM:617954]: An autosomal recessive, neurodegenerative disorder characterized by basal ganglia lesions, cerebellar atrophy, and neurologic regression in the first year of life. Common features include truncal hypotonia, lack of independent ambulation, poor speech, intellectual disability, and motor abnormalities, such as ataxia, dystonia, and spasticity. {ECO:0000269|PubMed:29576218}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"22","O75506","ENSP00000392896","Nsp13","HSBP1","0.851502614","0.0","4.33","43.33","HSBP1_HUMAN","Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13)"," Negative regulator of the heat shock response. Negatively affects HSF1 DNA-binding activity. May have a role in the suppression of the activation of the stress response during the aging process.","3CI9",NA
"23","O75534","ENSP00000342408","Orf9b","CSDE1","0.988959751","0.0","5.0","50.0","CSDE1_HUMAN","Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)"," RNA-binding protein. Required for internal initiation of translation of human rhinovirus RNA. May be involved in translationally coupled mRNA turnover. Implicated with other RNA-binding proteins in the cytoplasmic deadenylation/translational and decay interplay of the FOS mRNA mediated by the major coding-region determinant of instability (mCRD) domain. {ECO:0000269|PubMed:11051545, ECO:0000269|PubMed:15314026}.","1WFQ;1X65;2YTV;2YTX;2YTY",NA
